stack,ind,Cell_Label
stack_1,023_008,1.0
stack_1,022_007,5.0
stack_1,021_003,4.0
stack_1,031_004,5.0
stack_1,020_001,8.0
stack_1,018_001,4.0
stack_1,017_001,8.0
stack_1,016_004,5.0
stack_1,015_007,4.0
stack_1,014_003,6.0
stack_1,013_008,4.0
stack_1,012_003,5.0
stack_1,011_004,5.0
stack_1,010_001,3.0
stack_1,009_001,2.0
stack_1,019_001,1.0
stack_1,032_006,11.0
stack_1,008_001,1.0
stack_1,034_007,6.0
stack_1,033_008,11.0
stack_1,056_005,8.0
stack_1,055_005,5.0
stack_1,054_008,5.0
stack_1,053_008,6.0
stack_1,052_001,12.0
stack_1,051_006,13.0
stack_1,050_014,8.0
stack_1,049_005,12.0
stack_1,048_005,12.0
stack_1,047_008,7.0
stack_1,058_004,9.0
stack_1,045_012,10.0
stack_1,044_014,8.0
stack_1,043_007,6.0
stack_1,035_003,7.0
stack_1,041_002,6.0
stack_1,040_009,6.0
stack_1,039_001,7.0
stack_1,038_009,6.0
stack_1,037_001,9.0
stack_1,036_003,7.0
stack_1,046_007,8.0
stack_1,075_028,27.0
stack_1,076_006,17.0
stack_1,077_017,21.0
stack_1,081_008,10.0
stack_1,079_004,23.0
stack_1,080_016,1.0
stack_1,074_008,26.0
stack_1,082_007,21.0
stack_1,078_002,22.0
stack_1,073_011,24.0
stack_1,069_016,14.0
stack_1,071_004,22.0
stack_1,070_008,14.0
stack_1,083_008,6.0
stack_1,068_014,13.0
stack_1,067_014,18.0
stack_1,066_015,18.0
stack_1,065_014,
stack_1,064_017,20.0
stack_1,063_018,13.0
stack_1,062_013,13.0
stack_1,061_014,6.0
stack_1,072_008,24.0
stack_1,084_021,8.0
stack_1,089_018,5.0
stack_1,086_011,
stack_1,109_003,24.0
stack_1,060_011,12.0
stack_1,108_030,41.0
stack_1,107_012,24.0
stack_1,106_032,24.0
stack_1,105_002,23.0
stack_1,104_032,29.0
stack_1,103_001,28.0
stack_1,102_019,6.0
stack_1,101_005,13.0
stack_1,085_029,9.0
stack_1,100_027,12.0
stack_1,098_022,21.0
stack_1,097_028,4.0
stack_1,095_024,26.0
stack_1,094_004,14.0
stack_1,093_019,14.0
stack_1,092_011,10.0
stack_1,091_017,15.0
stack_1,090_007,7.0
stack_1,088_003,2.0
stack_1,087_006,3.0
stack_1,099_010,23.0
stack_1,096_004,4.0
stack_1,059_014,11.0
stack_1,057_008,12.0
stack_1,029_004,6.0
stack_1,028_008,4.0
stack_1,027_003,3.0
stack_1,026_008,7.0
stack_1,025_008,
stack_1,024_005,7.0
stack_1,023_008,1.0
stack_1,022_007,5.0
stack_1,021_003,4.0
stack_1,019_001,1.0
stack_1,030_003,3.0
stack_1,018_001,4.0
stack_1,016_004,5.0
stack_1,015_007,4.0
stack_1,014_003,6.0
stack_1,013_008,4.0
stack_1,012_003,5.0
stack_1,011_004,5.0
stack_1,010_001,3.0
stack_1,009_001,2.0
stack_1,008_001,1.0
stack_1,058_004,9.0
stack_1,017_001,8.0
stack_1,031_004,5.0
stack_1,020_001,8.0
stack_1,033_008,11.0
stack_1,032_006,11.0
stack_1,055_005,5.0
stack_1,054_008,5.0
stack_1,053_008,6.0
stack_1,052_001,12.0
stack_1,051_006,13.0
stack_1,050_014,8.0
stack_1,049_005,12.0
stack_1,048_005,12.0
stack_1,047_008,7.0
stack_1,046_007,8.0
stack_1,045_012,10.0
stack_1,056_005,8.0
stack_1,034_007,6.0
stack_1,043_007,6.0
stack_1,042_003,7.0
stack_1,041_002,6.0
stack_1,040_009,6.0
stack_1,039_001,7.0
stack_1,038_009,6.0
stack_1,037_001,9.0
stack_1,036_003,7.0
stack_1,035_003,7.0
stack_1,044_014,8.0
stack_1,075_007,17.0
stack_1,076_031,13.0
stack_1,077_022,24.0
stack_1,078_026,19.0
stack_1,083_006,1.0
stack_1,080_027,
stack_1,081_032,12.0
stack_1,082_017,22.0
stack_1,074_021,15.0
stack_1,079_026,22.0
stack_1,073_013,16.0
stack_1,067_017,24.0
stack_1,071_007,26.0
stack_1,070_013,22.0
stack_1,069_015,19.0
stack_1,068_019,14.0
stack_1,066_005,22.0
stack_1,065_004,8.0
stack_1,064_008,17.0
stack_1,063_010,
stack_1,062_010,17.0
stack_1,061_012,14.0
stack_1,072_012,14.0
stack_1,084_029,12.0
stack_1,060_012,16.0
stack_1,086_021,32.0
stack_1,109_002,14.0
stack_1,108_006,16.0
stack_1,107_002,14.0
stack_1,106_001,15.0
stack_1,105_010,22.0
stack_1,104_007,28.0
stack_1,103_014,13.0
stack_1,102_006,3.0
stack_1,101_004,5.0
stack_1,100_019,9.0
stack_1,099_006,14.0
stack_1,098_032,25.0
stack_1,097_019,3.0
stack_1,096_013,6.0
stack_1,095_031,32.0
stack_1,094_022,4.0
stack_1,093_022,11.0
stack_1,092_031,18.0
stack_1,091_012,23.0
stack_1,090_018,4.0
stack_1,089_007,1.0
stack_1,088_017,1.0
stack_1,087_007,1.0
stack_1,085_032,12.0
stack_1,059_013,13.0
stack_1,037_014,16.0
stack_1,057_009,16.0
stack_1,030_002,1.0
stack_1,029_002,7.0
stack_1,028_005,1.0
stack_1,027_010,10.0
stack_1,026_007,6.0
stack_1,025_007,8.0
stack_1,024_007,5.0
stack_1,023_006,2.0
stack_1,022_004,3.0
stack_1,020_005,7.0
stack_1,031_009,1.0
stack_1,019_004,3.0
stack_1,017_006,5.0
stack_1,016_003,3.0
stack_1,015_001,8.0
stack_1,014_001,3.0
stack_1,013_006,3.0
stack_1,012_002,8.0
stack_1,011_003,3.0
stack_1,010_003,5.0
stack_1,009_007,6.0
stack_1,008_002,5.0
stack_1,018_003,8.0
stack_1,032_011,14.0
stack_1,021_002,8.0
stack_1,034_004,14.0
stack_1,033_003,6.0
stack_1,055_013,13.0
stack_1,054_015,11.0
stack_1,053_012,10.0
stack_1,052_007,16.0
stack_1,051_013,10.0
stack_1,050_004,16.0
stack_1,049_010,16.0
stack_1,048_009,16.0
stack_1,047_004,8.0
stack_1,046_002,9.0
stack_1,056_013,16.0
stack_1,044_009,4.0
stack_1,045_013,16.0
stack_1,036_014,15.0
stack_1,058_009,14.0
stack_1,038_010,1.0
stack_1,039_012,16.0
stack_1,035_015,5.0
stack_1,041_004,11.0
stack_1,042_010,12.0
stack_1,043_006,1.0
stack_1,040_008,2.0
stack_1,073_026,13.0
stack_1,081_028,25.0
stack_1,080_008,24.0
stack_1,079_017,27.0
stack_1,078_015,29.0
stack_1,077_007,29.0
stack_1,076_016,25.0
stack_1,082_013,30.0
stack_1,075_029,16.0
stack_1,074_027,18.0
stack_1,072_018,17.0
stack_1,067_020,22.0
stack_1,070_022,
stack_1,069_017,8.0
stack_1,068_022,4.0
stack_1,066_005,22.0
stack_1,065_004,8.0
stack_1,064_008,17.0
stack_1,063_010,
stack_1,062_010,17.0
stack_1,061_012,14.0
stack_1,083_022,5.0
stack_1,071_017,24.0
stack_1,084_032,27.0
stack_1,109_007,12.0
stack_1,086_032,29.0
stack_1,060_012,16.0
stack_1,108_028,9.0
stack_1,107_010,12.0
stack_1,106_006,7.0
stack_1,105_007,7.0
stack_1,104_016,18.0
stack_1,103_020,9.0
stack_1,102_010,15.0
stack_1,101_010,12.0
stack_1,100_011,17.0
stack_1,099_026,13.0
stack_1,098_019,19.0
stack_1,097_012,13.0
stack_1,096_008,19.0
stack_1,095_032,28.0
stack_1,094_023,7.0
stack_1,093_024,5.0
stack_1,092_017,26.0
stack_1,091_032,30.0
stack_1,090_025,15.0
stack_1,089_009,11.0
stack_1,088_012,7.0
stack_1,087_018,7.0
stack_1,085_016,8.0
stack_1,059_013,13.0
stack_1,058_009,14.0
stack_1,057_009,16.0
stack_1,030_002,1.0
stack_1,029_002,7.0
stack_1,028_005,1.0
stack_1,027_010,10.0
stack_1,026_007,6.0
stack_1,025_007,8.0
stack_1,024_007,5.0
stack_1,023_006,2.0
stack_1,022_004,3.0
stack_1,021_002,8.0
stack_1,031_009,1.0
stack_1,020_005,7.0
stack_1,018_003,8.0
stack_1,017_006,5.0
stack_1,016_003,3.0
stack_1,015_001,8.0
stack_1,014_001,3.0
stack_1,013_006,3.0
stack_1,012_002,8.0
stack_1,011_003,3.0
stack_1,010_003,5.0
stack_1,009_007,6.0
stack_1,019_004,3.0
stack_1,032_011,14.0
stack_1,008_002,5.0
stack_1,034_004,14.0
stack_1,033_003,6.0
stack_1,056_013,16.0
stack_1,055_013,13.0
stack_1,054_015,11.0
stack_1,053_012,10.0
stack_1,052_007,16.0
stack_1,051_013,10.0
stack_1,049_010,16.0
stack_1,048_009,16.0
stack_1,047_004,8.0
stack_1,046_002,9.0
stack_1,050_004,16.0
stack_1,044_009,4.0
stack_1,043_006,1.0
stack_1,042_010,12.0
stack_1,035_015,5.0
stack_1,041_004,11.0
stack_1,040_008,2.0
stack_1,039_012,16.0
stack_1,038_010,1.0
stack_1,037_014,16.0
stack_1,036_014,15.0
stack_1,045_013,16.0
stack_1,072_014,23.0
stack_1,073_018,21.0
stack_1,074_013,23.0
stack_1,079_023,26.0
stack_1,076_008,24.0
stack_1,077_016,26.0
stack_1,078_025,26.0
stack_1,071_021,18.0
stack_1,075_011,23.0
stack_1,070_009,5.0
stack_1,106_009,14.0
stack_1,068_013,6.0
stack_1,067_010,14.0
stack_1,066_010,12.0
stack_1,065_013,10.0
stack_1,064_011,10.0
stack_1,063_013,15.0
stack_1,062_016,12.0
stack_1,061_017,12.0
stack_1,060_014,10.0
stack_1,080_022,13.0
stack_1,069_007,4.0
stack_1,081_020,23.0
stack_1,093_009,9.0
stack_1,083_011,19.0
stack_1,059_012,10.0
stack_1,105_032,11.0
